pair_id,task_id,unit_id,run_id,reference_class,score,max_score,pass_score,criteria_without_score,prediction,match,review_file
go_1::go_unit_001,go_1,go_unit_001,01a0776f-9b7f-7505-97ee-d4c8a3e12894,normal,16.0,16.0,9.6,1,pass,True,ai-reviews/01a0776f-9b7f-7505-97ee-d4c8a3e12894.json
go_2::go_unit_001,go_2,go_unit_001,01a0776f-9fb5-7083-95ba-dc90ade0a97f,weak,8.0,15.0,9.0,0,fail,True,ai-reviews/01a0776f-9fb5-7083-95ba-dc90ade0a97f.json
go_3::go_unit_001,go_3,go_unit_001,01a0776f-a3af-7ec7-9dae-031fb39cac94,weak,6.5,14.0,8.4,0,fail,True,ai-reviews/01a0776f-a3af-7ec7-9dae-031fb39cac94.json
go_1::go_unit_002,go_1,go_unit_002,01a0776f-a7eb-75fc-ad1c-c85a2c010156,medium,6.5,16.0,9.6,0,fail,,ai-reviews/01a0776f-a7eb-75fc-ad1c-c85a2c010156.json
go_2::go_unit_002,go_2,go_unit_002,01a0776f-acde-7851-9fc2-fe8bbde9922a,medium,1.0,15.0,9.0,0,fail,,ai-reviews/01a0776f-acde-7851-9fc2-fe8bbde9922a.json
go_3::go_unit_002,go_3,go_unit_002,01a0776f-b139-7c71-b6ce-64bf9d7a7f11,medium,0.0,14.0,8.4,0,fail,,ai-reviews/01a0776f-b139-7c71-b6ce-64bf9d7a7f11.json
go_1::go_unit_003,go_1,go_unit_003,01a0776c-e6d6-78be-8987-f6040a90bb96,normal,15.5,16.0,9.6,0,pass,True,ai-reviews/01a0776c-e6d6-78be-8987-f6040a90bb96.json
go_2::go_unit_003,go_2,go_unit_003,01a0776f-b5e0-72ba-a6b6-627fe592f5b2,normal,13.0,15.0,9.0,0,pass,True,ai-reviews/01a0776f-b5e0-72ba-a6b6-627fe592f5b2.json
go_3::go_unit_003,go_3,go_unit_003,01a0776f-cd52-7f26-b8b0-3260eaac6ccc,normal,10.0,14.0,8.4,0,pass,True,ai-reviews/01a0776f-cd52-7f26-b8b0-3260eaac6ccc.json
da_1::unit_004,da_1,unit_004,01a0776f-e168-7e2f-acdd-b80d1492db9f,medium,10.0,10.0,6.0,1,pass,,ai-reviews/01a0776f-e168-7e2f-acdd-b80d1492db9f.json
da_1::unit_005,da_1,unit_005,01a0776f-e666-78ea-975d-d1e573812389,normal,10.0,10.0,6.0,2,pass,True,ai-reviews/01a0776f-e666-78ea-975d-d1e573812389.json
da_2::unit_006,da_2,unit_006,01a0776f-eb1a-7409-b31e-2f7b21aed44c,weak,5.0,10.0,6.0,0,fail,True,ai-reviews/01a0776f-eb1a-7409-b31e-2f7b21aed44c.json
da_2::unit_007,da_2,unit_007,01a0776f-efd4-7aef-9401-f4fec260df8b,medium,8.0,10.0,6.0,2,pass,,ai-reviews/01a0776f-efd4-7aef-9401-f4fec260df8b.json
da_2::unit_008,da_2,unit_008,01a0776f-f4b9-71dd-b4bd-4331b9fdf905,normal,10.0,10.0,6.0,0,pass,True,ai-reviews/01a0776f-f4b9-71dd-b4bd-4331b9fdf905.json
da_3::unit_009,da_3,unit_009,01a0776f-fba3-7fc9-be48-6ea24ae21322,normal,8.0,10.0,6.0,1,pass,True,ai-reviews/01a0776f-fba3-7fc9-be48-6ea24ae21322.json
da_3::unit_010,da_3,unit_010,01a07770-009d-79ef-9e97-13b539ddc00b,medium,2.0,10.0,6.0,0,fail,,ai-reviews/01a07770-009d-79ef-9e97-13b539ddc00b.json
da_3::unit_011,da_3,unit_011,01a07770-0579-7938-b2b5-c55014399d32,normal,7.0,10.0,6.0,2,pass,True,ai-reviews/01a07770-0579-7938-b2b5-c55014399d32.json
da_4::unit_012,da_4,unit_012,01a07770-09ce-7450-8f39-7de05c7a2188,weak,3.0,10.0,6.0,0,fail,True,ai-reviews/01a07770-09ce-7450-8f39-7de05c7a2188.json
da_4::unit_013,da_4,unit_013,01a07770-0f1d-7fef-a9d7-796efccbbb0d,medium,10.0,10.0,6.0,2,pass,,ai-reviews/01a07770-0f1d-7fef-a9d7-796efccbbb0d.json
da_4::unit_014,da_4,unit_014,01a07770-136b-72f2-93b2-118e3ac84b61,normal,7.0,10.0,6.0,2,pass,True,ai-reviews/01a07770-136b-72f2-93b2-118e3ac84b61.json
da_5::unit_015,da_5,unit_015,01a07770-1821-728d-b2dd-fda5e63553df,weak,3.0,10.0,6.0,0,fail,True,ai-reviews/01a07770-1821-728d-b2dd-fda5e63553df.json
da_5::unit_016,da_5,unit_016,01a07770-1c60-7847-9df3-ec2ef021c026,medium,7.0,10.0,6.0,0,pass,,ai-reviews/01a07770-1c60-7847-9df3-ec2ef021c026.json
da_5::unit_017,da_5,unit_017,01a07770-21dc-7eda-a566-b649b560488c,normal,10.0,10.0,6.0,4,pass,True,ai-reviews/01a07770-21dc-7eda-a566-b649b560488c.json
ds_gpu::unit_018,ds_gpu,unit_018,01a07770-26bd-7888-b07f-69eb8a058263,weak,3.0,10.0,6.0,0,fail,True,ai-reviews/01a07770-26bd-7888-b07f-69eb8a058263.json
ds_gpu::unit_019,ds_gpu,unit_019,01a07770-2b77-7815-81a8-f1fe4c52b661,medium,7.0,10.0,6.0,1,pass,,ai-reviews/01a07770-2b77-7815-81a8-f1fe4c52b661.json
ds_gpu::unit_020,ds_gpu,unit_020,01a07770-309b-7d6b-a9d2-74cfd7ff359f,normal,10.0,10.0,6.0,0,pass,True,ai-reviews/01a07770-309b-7d6b-a9d2-74cfd7ff359f.json
ds_llm::unit_021,ds_llm,unit_021,01a07770-34f5-7bfa-b532-09180546f75b,weak,4.0,10.0,6.0,0,fail,True,ai-reviews/01a07770-34f5-7bfa-b532-09180546f75b.json
ds_llm::unit_022,ds_llm,unit_022,01a07770-3a5b-7bfc-a5c8-0c5f13b03540,medium,5.0,10.0,6.0,0,fail,,ai-reviews/01a07770-3a5b-7bfc-a5c8-0c5f13b03540.json
ds_llm::unit_023,ds_llm,unit_023,01a07770-3f8d-74c0-a318-0f6aa8d74a7c,normal,8.0,10.0,6.0,0,pass,True,ai-reviews/01a07770-3f8d-74c0-a318-0f6aa8d74a7c.json
